Year,Natural,Human
1850,287.446649,287.4289965
1851,287.4602006,287.4337246
1852,287.5306418,287.4738243
1853,287.5197317,287.4546951
1854,287.5078102,287.4178042
1855,287.4995332,287.4043601
1856,287.4657113,287.3924568
1857,287.2779968,287.4083566
1858,287.3185759,287.4434009
1859,287.3466971,287.3719666
1860,287.4228803,287.4054429
1861,287.4125727,287.4036056
1862,287.4001198,287.4339216
1863,287.4565443,287.3967975
1864,287.4429462,287.4056492
1865,287.4242749,287.4243178
1866,287.458439,287.4532228
1867,287.4430794,287.4233956
1868,287.48414,287.4294246
1869,287.4935681,287.437574
1870,287.4660352,287.4339047
1871,287.4951196,287.4692876
1872,287.5170865,287.4374587
1873,287.4868774,287.4238417
1874,287.5436226,287.4552764
1875,287.4795913,287.4807095
1876,287.4459979,287.4729323
1877,287.4587084,287.5075532
1878,287.4620635,287.4856772
1879,287.4956814,287.5141371
1880,287.4622098,287.5001592
1881,287.5020335,287.5475028
1882,287.4927501,287.4628436
1883,287.3856841,287.4934325
1884,287.0774308,287.5627285
1885,287.1115452,287.5624871
1886,287.209626,287.5948898
1887,287.2163033,287.5842068
1888,287.2425483,287.5285873
1889,287.2676528,287.528623
1890,287.2433992,287.5782467
1891,287.2687863,287.5472925
1892,287.301865,287.5503767
1893,287.3009006,287.5696669
1894,287.3830991,287.5596363
1895,287.3800027,287.5046744
1896,287.4053392,287.5148442
1897,287.4054792,287.4581733
1898,287.3907129,287.4952422
1899,287.3773873,287.523043
1900,287.4145923,287.5391027
1901,287.447039,287.5332376
1902,287.4576357,287.5347614
1903,287.2407727,287.5596897
1904,287.3059001,287.5188075
1905,287.3786022,287.498602
1906,287.3524348,287.4661225
1907,287.4018859,287.5501427
1908,287.3832958,287.5468979
1909,287.4149562,287.5780185
1910,287.4581868,287.5475163
1911,287.5211353,287.5845329
1912,287.4110515,287.5186058
1913,287.3422897,287.5346692
1914,287.4335108,287.5755026
1915,287.4883328,287.549005
1916,287.5162813,287.5626564
1917,287.5099767,287.5206346
1918,287.4957395,287.5591173
1919,287.4832356,287.600468
1920,287.4410209,287.5839158
1921,287.433168,287.5845893
1922,287.430951,287.5969932
1923,287.4531725,287.6236089
1924,287.4608507,287.5971979
1925,287.544058,287.6580557
1926,287.4995656,287.6561494
1927,287.4595292,287.6158837
1928,287.4340586,287.6339239
1929,287.4452533,287.6522901
1930,287.4707868,287.6155938
1931,287.411942,287.6376513
1932,287.3969173,287.6456267
1933,287.4706555,287.6331972
1934,287.4819305,287.6358337
1935,287.4948408,287.6464158
1936,287.455614,287.6533078
1937,287.4857702,287.6788828
1938,287.5207691,287.6435501
1939,287.5181956,287.6253527
1940,287.4816397,287.6607148
1941,287.4865008,287.7147662
1942,287.4408586,287.6633267
1943,287.4575519,287.6008984
1944,287.5220322,287.6383515
1945,287.5206787,287.6584807
1946,287.529023,287.7295251
1947,287.5499253,287.7295871
1948,287.5193573,287.6878887
1949,287.5440095,287.6474153
1950,287.5456349,287.6862987
1951,287.524648,287.6865421
1952,287.4732155,287.6811048
1953,287.4831993,287.666819
1954,287.4968911,287.6716166
1955,287.4733246,287.6434857
1956,287.5309824,287.6188106
1957,287.5172633,287.6303623
1958,287.5071096,287.6578865
1959,287.503974,287.6803535
1960,287.5475974,287.6930601
1961,287.5281507,287.7365461
1962,287.5153372,287.6865781
1963,287.4689965,287.71681
1964,287.2766059,287.722324
1965,287.2995628,287.7553957
1966,287.3660732,287.7019982
1967,287.4317186,287.7035489
1968,287.4097432,287.7545544
1969,287.4190145,287.8198722
1970,287.4172566,287.8019093
1971,287.4277314,287.8385153
1972,287.4921121,287.8339504
1973,287.4997349,287.8148919
1974,287.5027196,287.8401567
1975,287.4459978,287.8379436
1976,287.3931986,287.8496261
1977,287.4276216,287.8825329
1978,287.4613565,287.8592742
1979,287.4868382,287.8930251
1980,287.4838374,287.9618093
1981,287.5321986,287.9250052
1982,287.3984541,287.9028568
1983,287.1503104,288.0055375
1984,287.259741,288.0039893
1985,287.3529799,288.0179084
1986,287.3511549,287.9938694
1987,287.4363408,288.0252181
1988,287.4511744,288.0808102
1989,287.4662809,288.0528245
1990,287.4838404,288.0917248
1991,287.3902892,288.0947402
1992,287.0786197,288.0890314
1993,287.174787,288.0914102
1994,287.2785232,288.0829351
1995,287.3893097,288.1275675
1996,287.4243758,288.1428108
1997,287.465982,288.1523326
1998,287.4670124,288.1920068
1999,287.5157308,288.2061297
2000,287.5169631,288.1832639
2001,287.5266136,288.1842387
2002,287.5453743,288.2186731
2003,287.5342294,288.2597677
2004,287.5597677,288.2694792
2005,287.6049249,288.3035028
2006,287.6224774,288.2892132
2007,287.6445605,288.3034617
2008,287.6666435,288.3177102
2009,287.6887266,288.3319587
2010,287.7108096,288.3462072
2011,287.7328927,288.3604557
2012,287.7549757,288.3747042
2013,287.7770588,288.3889527
2014,287.7991418,288.4032012
2015,287.8212249,288.4174497
2016,287.8433079,288.4316982
